RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio
EU,Europe,ALB,Albania,1992,Male,33,0.33195856,2.33580198,2.07638583,3247039.0,652174990.8,200.8522198,906184212.3,1740.0,226.0054213,45.315
EU,Europe,ALB,Albania,1992,Female,14,0.19185967,0.8664197,0.87456272,3247039.0,652174990.8,200.8522198,906184212.3,1740.0,226.0054213,45.315
EU,Europe,ALB,Albania,1993,Male,46,0.47772354,3.33093767,2.93723262,3227287.0,1185315468.0,367.2792251,1024263065.0,2110.0,85.00475124,47.798
EU,Europe,ALB,Albania,1993,Female,27,0.38516405,1.7550773,1.68602473,3227287.0,1185315468.0,367.2792251,1024263065.0,2110.0,85.00475124,47.798
EU,Europe,ALB,Albania,1994,Male,37,0.41940603,2.67879607,2.33261884,3207536.0,1880950864.0,586.4161351,1216680600.0,2300.0,22.56505269,50.086
EU,Europe,ALB,Albania,1994,Female,15,0.24342746,0.98814675,0.92833271,3207536.0,1880950864.0,586.4161351,1216680600.0,2300.0,22.56505269,50.086
EU,Europe,ALB,Albania,1995,Male,57,0.6121134,3.65953804,3.54521707,3187784.0,2392764853.0,750.6044492,2035219960.0,2710.0,7.793218538,53.186
EU,Europe,ALB,Albania,1995,Female,34,0.50392767,2.11338033,2.07178112,3187784.0,2392764853.0,750.6044492,2035219960.0,2710.0,7.793218538,53.186
EU,Europe,ALB,Albania,1996,Male,53,0.53982481,3.65629951,3.2635468,3168033.0,3199640815.0,1009.977111,2823912223.0,3050.0,12.72547781,53.039
EU,Europe,ALB,Albania,1996,Female,39,0.56285178,2.43144652,2.35081374,3168033.0,3199640815.0,1009.977111,2823912223.0,3050.0,12.72547781,53.039
EU,Europe,ALB,Albania,1997,Male,124,1.25493371,8.19626361,7.61249923,3148281.0,2258513974.0,717.3800477,2532885529.0,2780.0,33.18027438,51.873
EU,Europe,ALB,Albania,1997,Female,52,0.82526583,3.0626825,3.0671228,3148281.0,2258513974.0,717.3800477,2532885529.0,2780.0,33.18027438,51.873
EU,Europe,ALB,Albania,1998,Male,104,1.07705054,6.65170488,6.30417652,3128530.0,2545964541.0,813.7893966,2700757967.0,3110.0,20.64285887,49.373
